Variable,Scenario,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150,2155,2160,2165,2170,2175,2180,2185,2190,2195,2200,2205,2210,2215,2220,2225,2230,2235,2240,2245,2250,2255,2260,2265,2270,2275,2280,2285,2290,2295,2300,2305,2310,2315,2320,2325,2330,2335,2340,2345,2350,2355,2360,2365,2370,2375,2380,2385,2390,2395,2400,2405,2410,2415,2420
DAMAGES,Optimal,0.727404,1.10326,1.49681,1.94358,2.47114,3.09566,3.82823,4.68345,5.67502,6.81403,8.1094,9.56716,11.1894,12.9729,14.9072,16.9723,19.1356,21.2652,23.3636,25.3748,27.2067,28.7366,30.1709,31.6521,33.1842,34.7479,36.3177,37.8659,39.3622,40.7747,42.0688,43.2067,44.147,44.8447,45.252,45.3188,44.9933,46.5206,48.4371,50.1876,51.6689,52.8481,53.6969,54.1817,54.265,53.908,53.0739,51.73,49.8509,47.4206,44.4369,40.9143,36.8883,32.4196,27.5986,22.5498,17.4365,20.9777,25.778,30.4932,34.8275,38.8079,42.5412,46.1345,49.6748,53.2279,56.8426,60.5553,64.3932,68.3775,72.5252,76.8503,81.3651,86.0804,91.0065,96.153,101.529,107.145,113.009,119.131,125.521
ABATECOST,Optimal,0.00609507,0.0375729,0.369945,0.528528,0.725408,0.986998,1.33236,1.73656,2.24747,2.89038,3.6924,4.68986,5.92086,7.43202,9.27815,11.523,14.2395,17.3287,21.015,25.3971,30.6049,36.7113,38.5864,40.6028,42.7563,45.0481,47.4824,50.0659,52.8013,55.6461,58.6026,61.6737,64.8617,68.1682,71.5939,75.1373,78.7931,73.1435,76.6535,80.2198,83.8575,87.5774,91.3877,95.2942,99.3013,103.412,107.629,111.953,116.386,120.929,125.582,130.344,135.216,140.197,145.286,150.483,155.786,141.99,146.855,151.797,156.82,161.924,167.11,172.379,177.73,183.161,188.671,194.258,199.919,205.653,211.458,217.33,223.267,229.267,235.327,241.443,247.613,253.833,260.101,266.413,272.766
ABATERAT,Optimal,4.54321e-05,0.000241467,0.0020703,0.00259206,0.00313661,0.00378273,0.00454729,0.00529909,0.00615384,0.00712406,0.00821521,0.00944248,0.0108115,0.0123319,0.0140138,0.0158674,0.017901,0.019907,0.0220832,0.0244356,0.0269868,0.0296975,0.0285684,0.0275199,0.0265449,0.0256367,0.0247891,0.0239967,0.0232527,0.0225319,0.0218337,0.0211572,0.0205017,0.0198666,0.0192511,0.0186548,0.018077,0.0154982,0.0150279,0.0145719,0.0141294,0.0137002,0.0132839,0.0128801,0.0124885,0.0121088,0.0117407,0.0113838,0.0110378,0.0107024,0.0103774,0.0100625,0.00975739,0.00946182,0.00917554,0.00889831,0.00862989,0.00736876,0.00715062,0.00693878,0.00673301,0.00653318,0.00633918,0.00615088,0.00596814,0.00579082,0.00561877,0.00545184,0.00528989,0.00513276,0.00498032,0.00483242,0.00468893,0.00454972,0.00441466,0.00428362,0.00415649,0.00403315,0.00391348,0.00379737,0.00368472
MCABATE,Optimal,5.76033,16.6104,64.1216,75.6948,87.3576,100.44,115.069,131.397,149.503,169.536,191.536,215.678,241.991,270.564,301.486,334.84,370.687,404,439.237,476.393,515.653,556.498,553.722,550.961,548.213,545.478,542.758,540.051,537.357,534.677,532.01,529.357,526.717,524.09,521.476,518.875,516.287,476.864,474.486,472.119,469.764,467.421,465.09,462.77,460.462,458.166,455.881,453.607,451.345,449.094,446.854,444.625,442.407,440.201,438.005,435.821,433.647,399.082,397.092,395.111,393.14,391.18,389.229,387.287,385.356,383.434,381.521,379.619,377.725,375.841,373.967,372.102,370.246,368.399,366.562,364.733,362.914,361.104,359.303,357.511,355.728
CPRICE,Optimal,5.76033,16.6104,64.1216,75.6948,87.3576,100.44,115.069,131.397,149.503,169.536,191.536,215.678,241.991,270.564,301.486,334.84,370.687,404,439.237,476.393,515.653,556.498,553.722,550.961,548.213,545.478,542.758,540.051,537.357,534.677,532.01,529.357,526.717,524.09,521.476,518.875,516.287,476.864,474.486,472.119,469.764,467.421,465.09,462.77,460.462,458.166,455.881,453.607,451.345,449.094,446.854,444.625,442.407,440.201,438.005,435.821,433.647,399.082,397.092,395.111,393.14,391.18,389.229,387.287,385.356,383.434,381.521,379.619,377.725,375.841,373.967,372.102,370.246,368.399,366.562,364.733,362.914,361.104,359.303,357.511,355.728
SCC,Optimal,5.76033,16.6104,64.1216,75.6948,87.3576,100.44,115.069,131.397,149.503,169.536,191.536,215.678,241.991,270.564,301.486,334.84,370.687,404,439.237,476.393,515.653,556.498,553.722,550.961,548.213,545.478,542.758,540.051,537.357,534.677,532.01,529.357,526.717,524.09,521.476,518.875,516.287,476.864,474.486,472.119,469.764,467.421,465.09,462.77,460.462,458.166,455.881,453.607,451.345,449.094,446.854,444.625,442.407,440.201,438.005,435.821,433.647,399.082,397.092,395.111,393.14,391.18,389.229,387.287,385.356,383.434,381.521,379.619,377.725,375.841,373.967,372.102,370.246,368.399,366.562,364.733,362.914,361.104,359.303,357.511,355.728
ECO2,Optimal,42.9412,42.9103,38.1473,38.2556,38.2105,37.828,37.0562,36.6086,35.888,34.8605,33.5019,31.7658,29.6188,27.0142,23.8985,20.2113,15.8875,11.5843,6.62395,0.935495,-5.58861,-12.951,-13.6706,-14.4479,-15.2822,-16.1746,-17.1273,-18.1436,-19.2254,-20.3578,-21.5425,-22.7812,-24.0753,-25.4263,-26.835,-28.3018,-29.8253,-15.7006,-16.5356,-17.3908,-18.2698,-19.1753,-20.1092,-21.0734,-22.0691,-23.0975,-24.1595,-25.2558,-26.3872,-27.5543,-28.7576,-29.9975,-31.2745,-32.589,-33.9412,-35.3313,-36.7596,1.93525e-11,2.03805e-11,2.1172e-11,2.18869e-11,2.27125e-11,2.36599e-11,2.42096e-11,2.47561e-11,2.59823e-11,2.64262e-11,2.7223e-11,2.80305e-11,2.92401e-11,2.96765e-11,3.06535e-11,3.15049e-11,3.25137e-11,3.30809e-11,3.41108e-11,3.20652e-11,2.26385e-11,2.09479e-10,4.86386e-10,1.39498e-09
EIND,Optimal,37.3362,38.1313,34.5152,35.1359,35.5393,35.5598,35.1496,34.9921,34.528,33.7269,32.5673,31.0059,29.0115,26.5397,23.5391,19.9512,15.7126,11.4753,6.57075,0.929083,-5.55593,-12.8864,-13.6125,-14.3956,-15.2351,-16.1322,-17.0892,-18.1093,-19.1945,-20.33,-21.5175,-22.7587,-24.0551,-25.4081,-26.8186,-28.2871,-29.8121,-15.6946,-16.5302,-17.386,-18.2655,-19.1713,-20.1057,-21.0702,-22.0663,-23.095,-24.1572,-25.2537,-26.3853,-27.5526,-28.756,-29.9961,-31.2733,-32.5879,-33.9402,-35.3304,-36.7588,1.93521e-11,2.03802e-11,2.11717e-11,2.18866e-11,2.27122e-11,2.36596e-11,2.42094e-11,2.47559e-11,2.59822e-11,2.6426e-11,2.72228e-11,2.80304e-11,2.924e-11,2.96764e-11,3.06534e-11,3.15049e-11,3.25137e-11,3.30808e-11,3.41107e-11,3.20652e-11,2.26385e-11,2.09479e-10,4.86385e-10,1.39498e-09
ECO2E,Optimal,52.4032,52.1859,46.2432,46.2332,46.0391,45.4398,44.3757,43.7025,42.7049,41.3455,39.5997,37.4169,34.7632,31.59,27.8417,23.456,18.3662,13.3005,7.5551,1.0602,-6.29462,-14.501,-15.2206,-15.9979,-16.8322,-17.7246,-18.6773,-19.6936,-20.7754,-21.9078,-23.0925,-24.3312,-25.6253,-26.9763,-28.385,-29.8518,-31.3753,-16.4756,-17.3106,-18.1658,-19.0448,-19.9503,-20.8842,-21.8484,-22.8441,-23.8725,-24.9345,-26.0308,-27.1622,-28.3293,-29.5326,-30.7725,-32.0495,-33.364,-34.7162,-36.1063,-37.5346,1.97448e-11,2.07781e-11,2.15695e-11,2.22827e-11,2.31083e-11,2.40574e-11,2.4602e-11,2.51433e-11,2.63747e-11,2.68116e-11,2.76067e-11,2.84126e-11,2.96256e-11,3.00551e-11,3.10321e-11,3.18818e-11,3.28906e-11,3.34526e-11,3.44825e-11,3.24042e-11,2.28709e-11,2.11566e-10,4.91094e-10,1.4081e-09
CCATOT,Optimal,633.5,692.067,750.591,802.62,854.796,906.911,958.504,1009.04,1058.97,1107.92,1155.47,1201.16,1244.48,1284.88,1321.73,1354.32,1381.89,1403.55,1419.35,1428.39,1429.66,1422.04,1404.38,1385.73,1366.03,1345.19,1323.13,1299.77,1275.02,1248.8,1221.03,1191.65,1160.58,1127.74,1093.07,1056.47,1017.87,977.187,955.773,933.221,909.502,884.584,858.431,831.004,802.263,772.163,740.66,707.71,673.264,637.275,599.694,560.472,519.559,476.904,432.456,386.164,337.976,287.841,287.841,287.841,287.841,287.841,287.841,287.841,287.841,287.841,287.841,287.841,287.841,287.841,287.841,287.841,287.841,287.841,287.841,287.841,287.841,287.841,287.841,287.841,287.841
CACC,Optimal,334.987,364.348,398.827,425.953,453.018,480.223,507.503,533.888,560.161,586.274,612.144,637.703,662.854,687.505,711.557,734.899,757.405,778.06,797.613,815.905,832.752,847.76,851.159,852.837,853.181,852.383,850.533,847.665,843.772,838.809,832.74,825.521,817.096,807.403,796.37,783.914,769.941,735.403,723.295,711.577,699.61,687.132,674.017,660.181,645.554,630.067,613.648,596.222,577.709,558.025,537.081,514.782,491.03,465.721,438.752,410.016,379.406,307.942,296.002,287.678,281.652,277.126,273.588,270.707,268.271,266.143,264.233,262.484,260.859,259.332,257.887,256.513,255.202,253.948,252.748,251.598,250.496,249.438,248.424,247.452,246.519
MAT,Optimal,886.513,915.718,939.764,964.667,989.779,1014.69,1039,1063.16,1086.81,1109.65,1131.32,1151.46,1169.63,1185.38,1198.17,1207.42,1212.48,1213.5,1209.74,1200.48,1184.91,1162.28,1141.22,1120.9,1100.85,1080.8,1060.59,1040.1,1019.25,997.989,976.292,954.131,931.484,908.341,884.696,860.552,835.924,829.784,820.478,809.643,797.891,785.451,772.414,758.823,744.708,730.096,715.012,699.488,683.554,667.249,650.613,633.69,616.529,599.182,581.704,564.149,546.571,567.898,579.839,588.163,594.189,598.715,602.253,605.134,607.569,609.698,611.607,613.356,614.982,616.509,617.954,619.328,620.639,621.892,623.092,624.242,625.345,626.402,627.416,628.389,629.322
PPM,Optimal,416.203,429.915,441.204,452.895,464.685,476.379,487.794,499.134,510.241,520.961,531.138,540.59,549.122,556.515,562.52,566.864,569.24,569.716,567.954,563.607,556.297,545.673,535.784,526.243,516.83,507.419,497.93,488.31,478.52,468.54,458.353,447.949,437.317,426.451,415.35,404.015,392.453,389.57,385.201,380.114,374.597,368.757,362.636,356.255,349.628,342.768,335.687,328.398,320.918,313.263,305.452,297.507,289.45,281.306,273.1,264.859,256.606,266.619,272.225,276.133,278.962,281.087,282.748,284.1,285.244,286.243,287.14,287.961,288.724,289.441,290.119,290.764,291.38,291.968,292.532,293.072,293.589,294.086,294.562,295.018,295.456
