Variable,Scenario,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150,2155,2160,2165,2170,2175,2180,2185,2190,2195,2200,2205,2210,2215,2220,2225,2230,2235,2240,2245,2250,2255,2260,2265,2270,2275,2280,2285,2290,2295,2300,2305,2310,2315,2320,2325,2330,2335,2340,2345,2350,2355,2360,2365,2370,2375,2380,2385,2390,2395,2400,2405,2410,2415,2420
ATFRAC2020,Optimal,0,0.498673,0.454783,0.462125,0.466641,0.4688,0.469189,0.470367,0.470769,0.470329,0.469015,0.466731,0.46338,0.458815,0.45284,0.445198,0.435562,0.424622,0.411308,0.394987,0.374796,0.349721,0.330412,0.311584,0.292596,0.273,0.252425,0.230521,0.206907,0.181175,0.152808,0.121146,0.0853222,0.0441654,-0.00395372,-0.0613787,-0.131617,-0.16506,-0.204903,-0.256471,-0.32109,-0.402501,-0.507262,-0.646516,-0.84026,-1.12804,-1.60041,-2.52023,-5.10412,-58.0899,6.97799,3.46199,2.3695,1.83485,1.51613,1.30335,1.15031,0.921758,0.887214,0.863133,0.845699,0.832606,0.82237,0.814036,0.806989,0.800832,0.795307,0.790248,0.785545,0.781127,0.776947,0.772972,0.769179,0.765553,0.762081,0.758754,0.755564,0.752505,0.749572,0.746758,0.744059
ATFRAC1765,Optimal,0.471212,0.473536,0.468649,0.469297,0.470029,0.470485,0.470526,0.470897,0.471034,0.470834,0.47022,0.469094,0.467367,0.464927,0.461645,0.457367,0.451905,0.445651,0.438045,0.428793,0.417519,0.403843,0.393925,0.384559,0.37543,0.366346,0.357178,0.347833,0.338228,0.328307,0.318003,0.307246,0.295959,0.284055,0.271435,0.257984,0.243572,0.247428,0.243236,0.237504,0.230776,0.223214,0.214827,0.205562,0.195333,0.184023,0.171485,0.157533,0.141927,0.124356,0.104408,0.0815202,0.0549101,0.023448,-0.0145586,-0.0617648,-0.122581,-0.0698361,-0.0283531,0.000565154,0.0215008,0.0372245,0.0495169,0.0595246,0.0679869,0.075381,0.0820156,0.0880912,0.0937385,0.0990435,0.104063,0.108837,0.113392,0.117747,0.121916,0.125911,0.129742,0.133415,0.136938,0.140317,0.143557
RES0,Optimal,150.093,162.805,174.107,185.44,196.76,207.967,218.945,229.79,240.423,250.75,260.675,270.086,278.861,286.864,293.944,299.931,304.638,308.069,310.031,310.307,308.65,304.812,300.761,296.479,291.95,287.157,282.081,276.705,271.007,264.975,258.591,251.84,244.706,237.172,229.22,220.833,211.995,207.342,202.442,197.288,191.874,186.192,180.232,173.988,167.448,160.603,153.444,145.96,138.14,129.975,121.454,112.565,103.297,93.6403,83.5828,73.1134,62.2209,62.2199,62.2189,62.2179,62.2168,62.2158,62.2148,62.2138,62.2127,62.2117,62.2107,62.2096,62.2086,62.2076,62.2065,62.2055,62.2044,62.2034,62.2023,62.2012,62.2002,62.1991,62.198,62.197,62.1959
RES1,Optimal,102.698,113.131,122.19,131.33,140.501,149.604,158.524,167.359,176.028,184.439,192.492,200.073,207.056,213.303,218.657,222.943,225.967,227.727,228.022,226.626,223.286,217.743,212.004,206.049,199.86,193.42,186.711,179.714,172.411,164.786,156.826,148.516,139.842,130.789,121.343,111.493,101.226,95.2842,89.1246,82.7465,76.1475,69.3244,62.2746,54.9955,47.4859,39.7453,31.775,23.5781,15.1605,6.53133,-2.29631,-11.3038,-20.466,-29.7492,-39.1089,-48.4877,-57.8116,-55.4907,-53.2495,-51.0931,-49.0196,-47.0253,-45.107,-43.2616,-41.4865,-39.7791,-38.1371,-36.5581,-35.0401,-33.5808,-32.1784,-30.8308,-29.5361,-28.2925,-27.0983,-25.9515,-24.8507,-23.794,-22.78,-21.807,-20.8736
RES2,Optimal,39.534,44.7562,48.3582,52.1785,56.1276,60.0847,63.9253,67.7786,71.5512,75.1437,78.4516,81.3557,83.727,85.4205,86.2739,86.1049,84.7107,82.1154,78.1063,72.4592,64.9251,55.2734,46.0343,37.1619,28.6202,20.3791,12.4123,4.697,-2.78497,-10.0412,-17.0747,-23.8834,-30.4601,-36.7915,-42.8575,-48.6309,-54.0754,-53.3565,-52.8282,-52.4705,-52.2542,-52.1488,-52.1236,-52.1477,-52.1895,-52.2165,-52.1951,-52.0905,-51.8665,-51.486,-50.9115,-50.1058,-49.034,-47.6653,-45.9763,-43.955,-41.6055,-26.7318,-17.1283,-10.962,-7.00847,-4.47582,-2.85487,-1.81856,-1.15684,-0.734883,-0.466182,-0.295318,-0.186822,-0.118025,-0.0744638,-0.0469188,-0.0295253,-0.0185566,-0.0116486,-0.0073035,-0.00457389,-0.00286122,-0.00178788,-0.001116,-0.000695882
RES3,Optimal,6.1865,7.0262,7.10884,7.7192,8.39034,9.03265,9.60708,10.2281,10.8106,11.3137,11.7041,11.9424,11.9868,11.789,11.2942,10.4417,9.16643,7.5838,5.58256,3.09098,0.0513197,-3.54604,-5.57894,-6.79333,-7.58268,-8.15356,-8.61296,-9.01503,-9.38543,-9.73023,-10.05,-10.3423,-10.6031,-10.8273,-11.0094,-11.1431,-11.2216,-7.48644,-6.26035,-5.92112,-5.87595,-5.91595,-5.96949,-6.01227,-6.03566,-6.03602,-6.01122,-5.95967,-5.88007,-5.77142,-5.63313,-5.46512,-5.26803,-5.04334,-4.79351,-4.52203,-4.2333,-0.0990932,-0.00226627,-5.13126e-05,-1.15186e-06,-2.56109e-08,-5.61273e-10,-9.88224e-12,2.16444e-12,2.53374e-12,2.57634e-12,2.64542e-12,2.71574e-12,2.82386e-12,2.85926e-12,2.94407e-12,3.01777e-12,3.1058e-12,3.15255e-12,3.24163e-12,3.04508e-12,2.15889e-12,1.94489e-11,4.53273e-11,1.2954e-10
ALPHA,Optimal,0.447154,0.51187,0.57566,0.631501,0.689433,0.75045,0.814558,0.880618,0.949753,1.02178,1.09633,1.17295,1.25096,1.32951,1.40751,1.4836,1.55606,1.61772,1.67102,1.71443,1.74565,1.76158,1.74206,1.71811,1.6913,1.66201,1.63026,1.59596,1.55903,1.51932,1.47682,1.43152,1.38344,1.33265,1.27922,1.22327,1.16494,1.08674,1.05378,1.02149,0.988346,0.954055,0.918605,0.882044,0.844434,0.805843,0.766352,0.726051,0.685053,0.643487,0.601511,0.559313,0.517117,0.475185,0.433822,0.393363,0.354166,0.309403,0.3075,0.306685,0.305991,0.305229,0.304391,0.303502,0.302585,0.301658,0.300733,0.299818,0.298917,0.298035,0.297172,0.296332,0.295514,0.294719,0.293947,0.293198,0.292472,0.291769,0.291087,0.290428,0.289789
IRFT,Optimal,43.9591,45.2571,46.4181,47.3576,48.2691,49.1694,50.0577,50.9185,51.7665,52.5985,53.4098,54.1957,54.9508,55.6693,56.345,56.9708,57.5386,58.0018,58.3883,58.6942,58.9094,59.0177,58.8848,58.7198,58.5322,58.3239,58.0939,57.8404,57.5613,57.254,56.9162,56.5458,56.1403,55.6973,55.214,54.6878,54.1157,53.3081,52.9526,52.5953,52.2185,51.8176,51.3908,50.9365,50.4534,49.9401,49.395,48.8163,48.2023,47.5512,46.8611,46.1303,45.3566,44.5383,43.6734,42.7602,41.7966,40.575,40.5196,40.4958,40.4755,40.4531,40.4285,40.4023,40.3752,40.3477,40.3202,40.2929,40.266,40.2395,40.2136,40.1883,40.1636,40.1395,40.116,40.0932,40.0711,40.0496,40.0287,40.0084,39.9888
FORC,Optimal,2.79184,3.01391,3.19484,3.36388,3.52909,3.68815,3.83873,3.98307,4.12055,4.24949,4.36831,4.47525,4.56852,4.64612,4.70585,4.74523,4.76139,4.73515,4.68363,4.60334,4.48999,4.33886,4.19113,4.05132,3.91634,3.78403,3.6528,3.52135,3.38857,3.25362,3.11569,2.97405,2.82799,2.67685,2.52,2.35682,2.18677,2.1403,2.07974,2.00729,1.92689,1.83996,1.74692,1.64787,1.54279,1.43162,1.31428,1.1907,1.06081,0.924582,0.781987,0.633043,0.477801,0.316347,0.148806,-0.0246737,-0.203919,0.0133124,0.138859,0.226191,0.289599,0.337454,0.375023,0.40566,0.431521,0.454003,0.474021,0.492178,0.508879,0.524399,0.538929,0.552604,0.565525,0.577767,0.589388,0.600438,0.610955,0.620973,0.630524,0.639633,0.648324
FORC_CO2,Optimal,2.32784,2.51162,2.65858,2.80687,2.95257,3.09349,3.22774,3.35805,3.48283,3.60072,3.7104,3.81042,3.89921,3.97503,4.03589,4.0795,4.10321,4.10795,4.09038,4.04683,3.97281,3.86348,3.75979,3.65791,3.55558,3.45138,3.34436,3.23374,3.11891,2.99941,2.87478,2.7446,2.6084,2.46575,2.31621,2.15932,1.99469,1.95289,1.88895,1.81358,1.73068,1.64158,1.54668,1.44603,1.33958,1.22722,1.10886,0.984396,0.853753,0.716869,0.573712,0.424285,0.268626,0.106814,-0.0610361,-0.234781,-0.414255,-0.197221,-0.0792454,0.00156837,0.0593637,0.102387,0.135795,0.16285,0.185626,0.205452,0.223184,0.239372,0.254379,0.268439,0.281712,0.294306,0.306295,0.317735,0.328666,0.33912,0.349126,0.358704,0.367875,0.376657,0.385067
F_GHGABATE,Optimal,0.518,0.53636,0.550388,0.5512,0.55077,0.548976,0.545361,0.539457,0.532219,0.523342,0.51253,0.499522,0.484057,0.465902,0.444841,0.420666,0.39318,0.3622,0.328243,0.29151,0.252181,0.210385,0.166339,0.128416,0.0957634,0.0676498,0.043444,0.0226028,0.00465848,-0.0107915,-0.024094,-0.0355475,-0.0454089,-0.0538995,-0.06121,-0.0675043,-0.0729237,-0.0775898,-0.0742061,-0.0712927,-0.0687842,-0.0666245,-0.0647649,-0.0631639,-0.0617853,-0.0605984,-0.0595765,-0.0586966,-0.057939,-0.0572868,-0.0567251,-0.0562416,-0.0558253,-0.0554668,-0.0551582,-0.0548924,-0.0546636,-0.0544666,-0.0468958,-0.0403773,-0.0347648,-0.0299325,-0.0257719,-0.0221896,-0.0191052,-0.0164496,-0.0141631,-0.0121944,-0.0104994,-0.00904,-0.00778344,-0.00670154,-0.00577003,-0.00496799,-0.00427744,-0.00368288,-0.00317096,-0.00273019,-0.0023507,-0.00202395,-0.00174262
TATM,Optimal,1.24715,1.42484,1.54632,1.64815,1.74353,1.83558,1.9244,2.01071,2.09446,2.1751,2.25187,2.32398,2.39054,2.4506,2.5031,2.54686,2.58053,2.59752,2.60112,2.59111,2.56593,2.52347,2.47606,2.42878,2.38219,2.3358,2.28901,2.24124,2.19198,2.14084,2.08743,2.03143,1.97251,1.91035,1.84465,1.77513,1.70151,1.66518,1.63506,1.60271,1.56685,1.52752,1.48486,1.43891,1.38966,1.33706,1.28107,1.22162,1.15865,1.09212,1.02199,0.948236,0.870844,0.789823,0.7052,0.617012,0.525311,0.55801,0.59918,0.63144,0.654048,0.669328,0.679552,0.686397,0.691,0.694111,0.69622,0.697645,0.698595,0.69921,0.699579,0.699766,0.699812,0.699749,0.699596,0.699369,0.69908,0.698739,0.698352,0.697926,0.697465
TBOX1,Optimal,0.1477,0.165075,0.183314,0.202319,0.222048,0.242444,0.263435,0.284966,0.30698,0.329408,0.352173,0.375187,0.398352,0.421558,0.444684,0.467592,0.49013,0.512018,0.533096,0.553187,0.572087,0.589565,0.605672,0.620493,0.634086,0.646495,0.657752,0.667881,0.676896,0.684805,0.691611,0.697313,0.701903,0.705371,0.7077,0.708872,0.708864,0.708541,0.707814,0.706609,0.704884,0.702605,0.699741,0.696265,0.692147,0.687361,0.681879,0.675671,0.668712,0.660974,0.652429,0.643051,0.632816,0.621698,0.609676,0.596727,0.582833,0.570705,0.559684,0.549488,0.539935,0.530908,0.522326,0.514131,0.506284,0.498754,0.491518,0.484557,0.477856,0.4714,0.465178,0.45918,0.453395,0.447815,0.44243,0.437233,0.432217,0.427374,0.422697,0.418181,0.413818
TBOX2,Optimal,1.09945,1.25977,1.363,1.44583,1.52148,1.59313,1.66097,1.72574,1.78748,1.84569,1.8997,1.94879,1.99219,2.02904,2.05842,2.07927,2.0904,2.0855,2.06803,2.03793,1.99384,1.93391,1.87039,1.80828,1.7481,1.68931,1.63126,1.57336,1.51509,1.45603,1.39582,1.33412,1.27061,1.20498,1.13695,1.06626,0.992646,0.956637,0.92725,0.896099,0.861962,0.824915,0.785116,0.742642,0.697509,0.649701,0.59919,0.545945,0.489939,0.431149,0.369564,0.305185,0.238028,0.168125,0.0955235,0.0202843,-0.0575215,-0.0126955,0.0394963,0.0819521,0.114113,0.13842,0.157226,0.172266,0.184716,0.195357,0.204701,0.213087,0.22074,0.22781,0.234401,0.240586,0.246417,0.251934,0.257166,0.262136,0.266863,0.271365,0.275655,0.279745,0.283648
PERIODU,Optimal,1.72509,1.8429,1.9579,2.07149,2.18391,2.29529,2.40573,2.51527,2.62394,2.73177,2.8388,2.94507,3.05063,3.15551,3.2598,3.36355,3.46691,3.57002,3.67296,3.77585,3.87899,3.98299,4.08896,4.1957,4.3026,4.40934,4.51576,4.6218,4.72741,4.83265,4.93748,5.04193,5.14604,5.24985,5.35343,5.45693,5.56065,5.66196,5.76552,5.86765,5.96869,6.06888,6.16836,6.26724,6.36559,6.46344,6.56083,6.65778,6.75429,6.85037,6.94601,7.04122,7.13598,7.23028,7.32412,7.41748,7.51035,7.60351,7.69481,7.78558,7.87589,7.96577,8.05522,8.14426,8.23288,8.32109,8.40889,8.49627,8.58324,8.6698,8.75594,8.84167,8.92698,9.01188,9.09636,9.18043,9.26409,9.34733,9.43016,9.51258,9.59459
TOTPERIODU,Optimal,13374.4,13183.1,12861.5,12449.2,11973,11455,10913,10361.2,9810.71,9269.94,8745.11,8240.68,7759.63,7303.75,6874,6470.64,6093.49,5742,5415.21,5112.03,4831.5,4572.86,4335.71,4117.14,3915.21,3728.52,3555.9,3396.35,3248.97,3112.95,2987.51,2871.94,2765.6,2667.88,2578.25,2496.27,2421.55,2352.55,2290.85,2234.56,2183.54,2137.62,2096.63,2060.37,2028.69,2001.43,1978.45,1959.65,1841.34,1729.71,1624.41,1525.13,1431.57,1343.42,1260.4,1182.24,1108.68,1039.57,974.391,913.104,855.506,801.391,750.563,702.837,658.033,615.983,576.527,539.513,504.798,472.245,441.726,413.121,386.313,361.195,337.665,315.627,294.989,275.666,257.576,240.645,224.8
RFACTLONG,Optimal,1e+06,796825,638173,513103,414063,335331,272511,222215,181815,149257,122933,101582,84207.5,70026.1,58413.6,48874.6,41013,34512.5,29121.7,24638,20894.7,17754.7,15103.4,12874,11001.2,9426.52,8100.32,6980.82,6033.63,5229.95,4546.46,3963.64,3465.33,3038.17,2670.99,2354.36,2080.29,1846.04,1639.74,1461.72,1307.37,1173.01,1055.66,952.876,862.604,783.133,713.013,651.014,564.337,489.457,424.734,368.762,320.332,278.408,242.097,210.634,183.357,159.614,139.145,121.366,105.911,92.4676,80.7677,70.58,61.7048,53.9696,47.2248,41.3409,36.2057,31.7221,27.8055,24.3828,21.3904,18.7731,16.4828,14.4779,12.7221,11.1837,9.83523,8.65281,7.61556
RLONG,Optimal,0,0.045424,0.0449147,0.0444852,0.0440868,0.0437054,0.0433359,0.0429746,0.0426191,0.0422686,0.0419223,0.0415799,0.0412412,0.040906,0.0405744,0.0402466,0.0399233,0.0396051,0.0392919,0.0389839,0.0386826,0.0383915,0.0381167,0.0378482,0.0375812,0.0373138,0.037045,0.0367747,0.0365029,0.03623,0.035956,0.0356812,0.0354059,0.0351303,0.0348548,0.0345799,0.0343069,0.0340255,0.0337538,0.0334776,0.0331987,0.032918,0.0326361,0.0323536,0.0320707,0.0317876,0.0315044,0.0312212,0.0311661,0.0311111,0.0310562,0.0310014,0.0309467,0.0308922,0.0308377,0.0307832,0.0307288,0.0306763,0.0306207,0.0305651,0.0305097,0.0304546,0.0303998,0.0303453,0.0302911,0.0302372,0.0301836,0.0301303,0.0300773,0.0300246,0.0299722,0.0299201,0.0298682,0.0298167,0.0297654,0.0297144,0.0296636,0.0296131,0.0295629,0.029513,0.0294633
RSHORT,Optimal,0,0.045424,0.0444054,0.0436263,0.0428916,0.0421799,0.041488,0.0408069,0.0401307,0.0394647,0.0388054,0.0381559,0.0375155,0.0368833,0.0362638,0.0356582,0.0350739,0.0345134,0.0339676,0.0334389,0.0329589,0.0325688,0.0323462,0.0319416,0.0314408,0.0308962,0.0303247,0.0297472,0.0291637,0.0285892,0.0280108,0.0274372,0.0268712,0.0263102,0.0257616,0.0252359,0.0247522,0.0238926,0.0237018,0.0229843,0.0223196,0.0216887,0.0210806,0.0204879,0.0199058,0.0193308,0.0187606,0.0181936,0.028576,0.0284709,0.0283666,0.0282626,0.0281586,0.0280542,0.0279493,0.0278437,0.0277374,0.0277355,0.0274488,0.0273408,0.0272421,0.0271481,0.0270564,0.0269661,0.0268768,0.0267883,0.0267005,0.0266133,0.0265268,0.0264409,0.0263557,0.026271,0.0261871,0.0261037,0.026021,0.025939,0.0258576,0.0257768,0.0256967,0.0256172,0.0255383
L,Optimal,7752.9,8137.37,8481.17,8786.62,9056.48,9293.78,9501.6,9682.96,9840.77,9977.73,10096.3,10198.9,10287.4,10363.6,10429.3,10485.8,10534.3,10576,10611.7,10642.4,10668.7,10691.2,10710.5,10727,10741.2,10753.3,10763.7,10772.5,10780.1,10786.6,10792.2,10796.9,10801,10804.5,10807.4,10810,10812.2,10814,10815.6,10817,10818.1,10819.1,10820,10820.7,10821.3,10821.9,10822.3,10822.7,10823,10823.3,10823.6,10823.8,10824,10824.1,10824.2,10824.3,10824.4,10824.5,10824.6,10824.7,10824.7,10824.7,10824.8,10824.8,10824.8,10824.9,10824.9,10824.9,10824.9,10824.9,10824.9,10824.9,10825,10825,10825,10825,10825,10825,10825,10825,10825
AL,Optimal,5.84,6.25268,6.69098,7.15626,7.64993,8.17343,8.72829,9.3161,9.93849,10.5972,11.2939,12.0306,12.809,13.6312,14.4993,15.4153,16.3814,17.4,18.4733,19.6037,20.7938,22.0462,23.3635,24.7484,26.2039,27.7327,29.338,31.0227,32.7902,34.6435,36.5862,38.6217,40.7534,42.9851,45.3204,47.7632,50.3175,52.9871,55.7763,58.6892,61.7302,64.9036,68.2139,71.6658,75.2638,79.0129,82.9179,86.9837,91.2155,95.6184,100.198,104.959,109.907,115.048,120.387,125.931,131.684,137.654,143.845,150.264,156.918,163.811,170.952,178.346,185.999,193.918,202.111,210.583,219.342,228.393,237.746,247.405,257.379,267.674,278.297,289.257,300.56,312.213,324.224,336.601,349.35
UTILITY,Optimal,6659.48
